"","scen","trueHR"
"1",1,-0.681378491867844
"2",2,-0.997256917885253
"3",3,-0.672872132402278
"4",4,-0.884570766045731
"5",5,-0.626228741813383
"6",6,-0.687976298409427
"7",7,-0.681430517262588
"8",8,-0.683594589399682
"9",9,-0.681782484384731
"10",10,-0.676315500885536
"11",11,-0.627106253012936
"12",12,-0.681991868122584
"13",13,-0.679911803473638
"14",14,-0.691452449253357
"15",15,-0.62119420383472
"16",16,-0.688102430952188
"17",17,-0.692231012325712
"18",18,-0.620030229601623
"19",19,-0.689228139206725
"20",20,-0.679368727508723
"21",21,-0.690607466511076
"22",22,-0.680275162340996
"23",23,-0.680891762066024
"24",24,-0.627033267944359
"25",25,-0.687420391356693
"26",26,-0.679831606399888
"27",27,-0.287887825197273
"28",28,-0.54651634696759
"29",29,-0.277570371195332
"30",30,-0.465247329629925
"31",31,-0.261914163755363
"32",32,-0.2804066724553
"33",33,-0.280831151410615
"34",34,-0.288696024453035
"35",35,-0.285348756782825
"36",36,-0.283245634744977
"37",37,-0.25958503164006
"38",38,-0.282480753616571
"39",39,-0.28739246113877
"40",40,-0.280335076162375
"41",41,-0.254756087222686
"42",42,-0.288514030751018
"43",43,-0.287735826756604
"44",44,-0.264675931239734
"45",45,-0.283881562774336
"46",46,-0.289237393201954
"47",47,-0.277015840227693
"48",48,-0.281891752080349
"49",49,-0.261459005038932
"50",50,-0.287407994649131
"51",51,-0.283489211572474
