"","scen","trueHR"
"1",1,-0.683802642315228
"2",2,-1.0087771791982
"3",3,-0.671832790954686
"4",4,-0.883526681014137
"5",5,-0.617936663498014
"6",6,-0.687459711000723
"7",7,-0.684135046458314
"8",8,-0.685188126902371
"9",9,-0.685392897570596
"10",10,-0.680425137217643
"11",11,-0.618894960420555
"12",12,-0.684456761928877
"13",13,-0.681988826483892
"14",14,-0.68452144367027
"15",15,-0.623097911406471
"16",16,-0.692636515506507
"17",17,-0.699120011043183
"18",18,-0.627427354516747
"19",19,-0.682183173406983
"20",20,-0.686137092768003
"21",21,-0.685377355963754
"22",22,-0.683283036054648
"23",23,-0.681423873192319
"24",24,-0.6287427671266
"25",25,-0.681869274719991
"26",26,-0.676783029473015
"27",27,-0.282310456359217
"28",28,-0.551665650975477
"29",29,-0.277257209223822
"30",30,-0.475138735203208
"31",31,-0.261520654604115
"32",32,-0.285232432381922
"33",33,-0.285624337824279
"34",34,-0.286220743315073
"35",35,-0.287634775401329
"36",36,-0.28304030177247
"37",37,-0.258873650639374
"38",38,-0.278615619992896
"39",39,-0.285645824301365
"40",40,-0.284679053707577
"41",41,-0.257288809757869
"42",42,-0.285050629894369
"43",43,-0.292407486972651
"44",44,-0.259562147651567
"45",45,-0.285533406666543
"46",46,-0.279746773970423
"47",47,-0.286997312214445
"48",48,-0.291054403458492
"49",49,-0.259907132643696
"50",50,-0.283724507401217
"51",51,-0.275607064985785
